time,gyrX,gyrY,gyrZ,accX,accY,accZ
0.0,0.07088065147399902,-0.04286394268274307,-0.004266392905265093,-0.067703016102314,0.1408362090587616,9.86716365814209
0.02,0.015796232968568802,-0.024171879515051842,0.01335223950445652,-0.08798027038574219,0.26272550225257874,9.754950523376465
0.04,0.04082592576742172,-0.018736733123660088,0.012337288819253445,-0.6016249060630798,0.2595314383506775,10.104670524597168
0.06,0.039614204317331314,-0.015650548040866852,0.01595318131148815,-0.9308124780654907,0.25835639238357544,10.329343795776367
0.08,0.0665147602558136,-0.028360769152641296,0.006319744978100061,-0.8845828771591187,0.32898828387260437,10.390970230102539
0.1,0.07909288257360458,-0.02803884446620941,0.01851418800652027,-0.9156486988067627,0.20613542199134827,10.195562362670898
0.12,0.030556784942746162,-0.01500706747174263,0.024298731237649918,-0.736500084400177,-0.2344597429037094,9.332232475280762
0.14,0.04725869745016098,-0.024801718071103096,0.025617077946662903,0.23239049315452576,-0.476947158575058,9.14098072052002
0.16,0.11686768382787704,-0.07281693071126938,0.009052420035004616,1.055637240409851,-0.32396140694618225,9.58719253540039
0.18,0.09479866176843643,-0.06705395877361298,-0.008363739587366581,1.2363253831863403,-0.29356762766838074,9.788798332214355
0.2,0.13173387944698334,-0.0016830412205308676,-0.03606566786766052,1.0356709957122803,-0.2551271915435791,10.213383674621582
0.22,0.07950510084629059,0.04093405231833458,-0.061902664601802826,1.0265311002731323,0.02522970363497734,10.165444374084473
0.24,0.08023691922426224,0.03288281336426735,-0.07385233044624329,0.9568098783493042,0.40409091114997864,9.179701805114746
0.26,0.011894327588379383,0.025694794952869415,-0.06778273731470108,0.9300351142883301,0.8133034110069275,8.74357795715332
0.28,0.00995827279984951,0.045795220881700516,-0.06595846265554428,0.9250639081001282,1.1010936498641968,8.711856842041016
0.3,0.012164809741079807,0.08915640413761139,-0.007477447856217623,1.0899099111557007,0.9301359057426453,9.327062606811523
0.32,0.036948591470718384,0.08695216476917267,0.04776415601372719,0.950339138507843,0.21727177500724792,9.867995262145996
0.34,0.0017818950582295656,0.0811251625418663,0.050607070326805115,0.6381711363792419,-0.4548511803150177,10.908493995666504
0.36,-0.020975956693291664,0.10039183497428894,0.006125365383923054,0.12953916192054749,-0.30697205662727356,10.790714263916016
0.38,0.020656036213040352,0.09432001411914825,-0.02941753901541233,0.09835310280323029,0.3421146273612976,9.065672874450684
0.4,0.036025095731019974,0.030270187184214592,-0.03511273115873337,0.08665734529495239,0.4641623795032501,8.318177223205566
