time,velL,velR,curL,curR
0.0,0.5806713101042772,0.5808697623633695,1.25,2.17
0.06666666666666667,0.28524999486799213,0.28618893494326525,1.51,2.3
0.13333333333333333,0.5782330004820486,0.5782330004820486,2.04,2.69
0.2,0.5628668803148136,0.5638306934660375,2.17,2.69
0.26666666666666666,0.5599921176504977,0.5599921176504977,2.17,2.57
0.3333333333333333,0.29367377223743696,0.29367377223743696,1.78,2.17
0.4,0.5744815632856044,0.5744815632856044,2.17,2.69
0.4666666666666667,0.5552152544183198,0.5557854857648636,2.17,2.57
0.5333333333333333,0.5751815870542569,0.5747880314011238,2.3,2.69
0.6,0.28426943248560776,0.28445731710721095,2.3,2.83
0.6666666666666666,0.5822071750030692,0.5818077189653311,4.8,4.14
0.7333333333333333,0.5798002120005589,0.5786157376144495,4.14,5.06
0.8,0.5554482133073143,0.5561965436721609,2.04,2.57
0.8666666666666667,0.3216097426791324,0.3224147733241365,0.86,2.17
0.9333333333333333,0.5532956952939517,0.5527280184519949,1.12,2.04
1.0,0.5704205181072918,0.5704205181072918,2.17,2.69
1.0666666666666667,0.32070639424563446,0.32050620298830257,2.17,2.69
1.1333333333333333,0.5589515057160475,0.558760149500465,2.3,2.83
1.2,0.5784320354090532,0.5797999490063043,2.17,2.83
1.2666666666666666,0.5711109245083442,0.5716818451259801,2.17,2.69
1.3333333333333333,0.2979420913501971,0.2965726923748515,2.17,2.04
1.4,0.564781935513577,0.5649726757822409,1.78,2.43
1.4666666666666666,0.5916449558616531,0.5926320178500776,2.3,2.96
1.5333333333333332,0.2943392531067476,0.2927849864236757,3.48,4.14
1.6,0.5737125177067739,0.5735211526241498,3.48,4.66
1.6666666666666667,0.5761479039576807,0.5775058283104428,3.22,4.27
1.7333333333333334,0.5840498481446241,0.5844489255946717,2.04,2.57
1.8,0.2971645047185669,0.29791968770387456,1.12,2.04
1.8666666666666667,0.5622991774961378,0.5611199411924059,2.3,2.69
1.9333333333333333,0.5660368592592592,0.5673961244444444,3.61,2.83
2.0,0.5515067630424632,0.5494334293468148,3.48,3.61
2.0666666666666664,0.3027236659960293,0.3021293132486549,2.69,4.01
2.1333333333333333,0.5618653608134543,0.5635965447392747,2.17,2.96
2.2,0.5763854695864319,0.5769772411157814,2.57,2.57
2.2666666666666666,0.5685037953289946,0.5694775942247277,2.3,2.69
2.3333333333333335,0.2901469793072144,0.2901469793072144,2.57,2.69
2.4,0.5729697756872846,0.5731662000190251,2.43,2.43
2.466666666666667,0.5725339458228549,0.5694032065428939,3.09,3.35
2.533333333333333,0.5532759902314078,0.5559277751897234,2.17,2.83
2.6,0.30692516057322106,0.30633905269179545,3.22,4.14
2.6666666666666665,0.5778140582506185,0.5789860948799301,3.35,4.66
2.7333333333333334,0.5823005649791559,0.5809262885277554,2.17,2.04
2.8,0.5520538082170963,0.5520538082170963,0.86,1.91
2.8666666666666667,0.2971494336360313,0.298915843743511,0.73,2.17
2.933333333333333,0.5600393196828294,0.559654941289087,2.3,2.83
3.0,0.5914984898474439,0.5923082071504521,3.75,4.01
3.0666666666666664,0.5464382501946242,0.5445707237072879,2.96,2.83
3.1333333333333333,0.2942747598650647,0.29485709778036495,2.69,4.01
3.2,0.5683499413140279,0.5679643579074377,3.22,3.35
3.2666666666666666,0.5686413806168041,0.570008776585309,2.04,2.69
3.3333333333333335,0.5598264856949754,0.5602104544780309,1.91,2.43
3.4,0.30080629247050056,0.30120235078843405,2.3,2.69
3.466666666666667,0.5647394945001095,0.5655109965417764,2.17,2.83
3.533333333333333,0.562722167687021,0.5605994160256502,2.17,4.01
3.6,0.563397462143296,0.5647476101183055,2.3,3.88
3.6666666666666665,0.29770235348928653,0.29828876652964625,2.3,3.22
3.7333333333333334,0.5611356134231259,0.5607517997340539,2.17,2.83
3.8,0.558510813499041,0.5592764211940362,2.3,2.83
3.8666666666666667,0.5791139113463051,0.5793121701314288,2.3,2.96
3.933333333333333,0.29748745451894193,0.29592173107410535,2.3,2.83
4.0,0.5611368612982809,0.5622902772516176,2.57,3.88
4.066666666666666,0.567846480015084,0.5688198198848391,3.09,3.61
4.133333333333333,0.5630916441148426,0.5632812372610093,3.35,3.22
4.2,0.3182085226697507,0.3184075273743596,2.17,2.69
4.266666666666667,0.5604384609602148,0.5606301293805157,2.04,2.57
4.333333333333333,0.5679268222603255,0.5677342394111359,3.48,3.75
4.4,0.2916186874147576,0.292708850732196,3.09,3.22
4.466666666666667,0.6077783909433961,0.6061109605155679,3.35,3.35
4.533333333333333,0.5824692002150121,0.5836470954631718,3.09,3.22
4.6,0.5806206802573947,0.5792658986701275,2.17,2.69
4.666666666666667,0.2935682341706,0.29473241751826923,2.3,3.61
4.733333333333333,0.5604072614609537,0.5607850216641629,3.09,3.75
4.8,0.5931870398500734,0.5939792762972854,2.96,2.96
4.866666666666666,0.29466405053800765,0.294858163878283,3.48,3.88
4.933333333333334,0.5807255715745417,0.5813066845547699,3.48,3.88
5.0,0.5929206627091993,0.5927201484505895,4.4,4.01
5.066666666666666,0.5558952621261368,0.5576004623167078,3.48,4.27
5.133333333333333,0.30967897532891714,0.3098762230839037,2.43,2.83
5.2,0.5604076425971306,0.5602124466226976,2.69,2.69
5.266666666666667,0.5548979469867882,0.5569947788029526,3.35,2.83
5.333333333333333,0.5619722091704745,0.5623567265903654,4.93,2.83
5.4,0.294972334752631,0.2959388233986095,4.01,2.96
5.466666666666667,0.5794511625572866,0.57707392701859,4.01,2.83
5.533333333333333,0.5599058358335054,0.5585672631385483,2.17,3.22
5.6,0.5757138784649688,0.5768952338927356,2.3,3.22
5.666666666666667,0.29426424401001927,0.2952303117841822,2.17,2.96
5.733333333333333,0.5585777908437669,0.5583855754993609,2.17,3.88
5.8,0.5626559358214582,0.5622704230185658,5.58,5.58
5.866666666666666,0.5613581724933198,0.5600156691768,4.27,5.45
5.933333333333334,0.31113032463092805,0.3089669658629507,3.61,6.24
6.0,0.5498331813555815,0.5557721460322445,2.57,4.66
6.066666666666666,0.592165280078328,0.5915587605016004,2.17,2.83
6.133333333333333,0.5520586677481131,0.5514916783598063,0.86,2.69
6.2,0.29770235348928653,0.2990706505834592,2.43,2.83
6.266666666666667,0.5584323938362926,0.5578562943928576,2.17,2.69
6.333333333333333,0.5704573455040515,0.5712390616335534,3.61,4.8
6.4,0.5593718749194013,0.5599450018404253,3.22,4.27
6.466666666666667,0.29972242589758336,0.30149244022375016,3.61,2.69
6.533333333333333,0.5594915872506894,0.5587264705501757,2.17,2.57
6.6,0.5756604472407624,0.5758576587677378,0.99,2.3
6.666666666666667,0.5603330475699129,0.560526199258148,4.01,3.22
6.733333333333333,0.2925737461834916,0.2916176228299508,5.45,6.11
6.8,0.5789203766480121,0.579118433567837,3.22,4.14
6.866666666666666,0.5655617922809942,0.5665262564560982,3.48,3.88
6.933333333333334,0.5706989299991999,0.5708941742448376,2.17,2.57
7.0,0.29047009715276273,0.29104339339714314,2.3,2.83
7.066666666666666,0.5631723194274427,0.5631723194274427,2.96,4.8
7.133333333333333,0.57936137422154,0.5779748683687022,4.01,3.88
7.2,0.5511410577747838,0.5517061374649151,4.93,4.93
7.266666666666667,0.3029551499442328,0.30255990513021547,2.96,3.22
7.333333333333333,0.5560469879606207,0.5568110511525968,2.3,2.83
7.3999999999999995,0.5698588447127279,0.569079816900407,3.61,3.35
7.466666666666667,0.5509938523991637,0.5521107318297025,2.57,3.22
7.533333333333333,0.3223479483969994,0.3227518931944893,3.61,3.09
7.6,0.5603569092340158,0.5576776070723778,3.09,3.61
7.666666666666667,0.5778879034338142,0.5798356213422531,2.69,3.61
7.733333333333333,0.3187819529235147,0.3187819529235147,2.43,2.83
7.8,0.5525895629516338,0.5535377262374122,4.01,3.35
7.866666666666666,0.572242391877881,0.5708932181685024,4.53,3.75
7.933333333333334,0.59480759284901,0.5965938018365445,4.27,3.88
8.0,0.29089246889856396,0.29203546484708487,4.53,2.69
8.066666666666666,0.561219495659667,0.5598922873929043,4.14,3.09
8.133333333333333,0.5884788554789878,0.5888722236978908,4.14,3.75
8.2,0.5617152706308114,0.5622923753609115,4.27,3.88
8.266666666666666,0.314084883113612,0.3136917856378753,4.93,4.14
8.333333333333334,0.573830890850961,0.5744120835155635,5.06,4.4
8.4,0.5726074924246568,0.573782071896297,4.4,3.48
8.466666666666667,0.29905959033045537,0.29886309914101356,3.35,2.57
8.533333333333333,0.5566199791579529,0.5554781945853212,2.83,2.83
8.6,0.5687158920960408,0.5696877237640108,2.57,3.35
8.666666666666666,0.5728420212772635,0.5724502004692763,2.17,2.57
8.733333333333333,0.30221147498958223,0.30278025442808204,2.3,2.69
8.8,0.578119513869546,0.578119513869546,2.17,3.09
8.866666666666667,0.572071713174543,0.571484772292353,5.32,5.32
8.933333333333334,0.5700434617014782,0.5723845026119565,4.8,4.66
9.0,0.28864129286547807,0.28864129286547807,4.01,3.35
9.066666666666666,0.5786575780899372,0.5758907727302176,2.96,3.75
9.133333333333333,0.5112440187613374,0.5131673033736407,2.3,3.88
9.2,0.6295087781412353,0.6297239948175228,2.04,2.83
9.266666666666666,0.2912704292802825,0.2896070829201794,2.17,2.57
9.333333333333334,0.5832723270362435,0.5863475765636754,3.48,2.96
