time,gyrX,gyrY,gyrZ,accX,accY,accZ
0.0,0.08061373233795166,-0.04608037695288658,0.03484921529889107,0.2051718831062317,-0.26980674266815186,9.007246971130371
0.02,0.05144181102514267,-0.03442909196019173,0.018895544111728668,0.3746727705001831,-0.09711979329586029,8.926789283752441
0.04,0.045473117381334305,0.004258573520928621,0.02284214273095131,0.4737708270549774,-0.027141207829117775,9.250298500061035
0.06,0.04348638653755188,0.013582269661128521,0.028082847595214844,0.5071277022361755,-0.12497467547655106,9.778244972229004
0.08,0.038160357624292374,-0.04143688827753067,0.036438241600990295,0.5536841750144958,-0.06279278546571732,10.303826332092285
0.1,0.020431041717529297,-0.07901250571012497,0.04070310294628143,0.3907206952571869,-0.10277719795703888,10.65622329711914
0.12,0.03308945149183273,-0.07278570532798767,0.014210431836545467,0.12095920741558075,-0.17818033695220947,10.464993476867676
0.14,0.06665793806314468,-0.04948684573173523,-0.0029769346583634615,0.014499536715447903,-0.29684603214263916,9.609051704406738
0.16,0.008991929702460766,-0.05068589746952057,-0.0317438468337059,0.011310012079775333,-0.35905352234840393,9.125537872314453
0.18,-0.030694331973791122,-0.04508255049586296,-0.04129084199666977,-0.07730202376842499,-0.19675087928771973,9.130971908569336
0.2,-0.037262625992298126,-0.02081698179244995,-0.02944784425199032,-0.18723487854003906,-0.0075364806689321995,9.570286750793457
0.22,-0.05325377359986305,-0.010540839284658432,-0.004571497905999422,-0.2741505205631256,0.18078193068504333,10.04178524017334
0.24,-0.02109908126294613,-0.014032304286956787,0.030229825526475906,-0.21312695741653442,0.013703707605600357,10.265555381774902
0.26,0.05509362369775772,-0.02165081910789013,0.05624990165233612,0.196149080991745,-0.40239161252975464,10.274618148803711
0.28,0.057205427438020706,-0.023094644770026207,0.04331614822149277,0.596962571144104,-0.7953758239746094,9.890978813171387
0.3,0.06662151217460632,-0.028148332610726357,0.009617021307349205,0.6059747338294983,-0.7922307848930359,9.77439022064209
0.32,0.040113743394613266,-0.04108039289712906,-0.0041395798325538635,0.3999805450439453,-0.6034119725227356,9.33568286895752
0.34,0.05209227651357651,-0.030965285375714302,-0.021927669644355774,0.3351178467273712,-0.4689536988735199,8.790583610534668
0.36,0.08214109390974045,0.0015539248706772923,-0.035792551934719086,0.1584893763065338,-0.03425880894064903,9.136665344238281
0.38,0.07215192168951035,-0.0007884232327342033,-0.033666979521512985,-0.07638757675886154,0.14625465869903564,9.890959739685059
0.4,0.09017171710729599,-0.007453141734004021,0.002501098904758692,-0.19011561572551727,0.1727365106344223,10.438310623168945
0.42,0.10815632343292236,0.0023175517562776804,0.044038258492946625,-0.25991156697273254,-0.01514994353055954,10.373035430908203
0.44,0.0759325847029686,0.004647542256861925,0.056916117668151855,-0.1394302248954773,-0.028761891648173332,9.55695915222168
0.46,0.0894736722111702,0.003329586237668991,0.04375159367918968,0.04230155795812607,-0.15487131476402283,9.292797088623047
0.48,0.07636387646198273,0.03159536048769951,0.025317786261439323,0.17274487018585205,-0.21077187359333038,9.608307838439941
0.5,0.06244906038045883,0.03336085006594658,0.0011507929302752018,0.2870323061943054,-0.15316246449947357,10.392650604248047
0.52,0.06099466234445572,0.020612474530935287,-0.02321520261466503,0.33472728729248047,-0.025403449311852455,10.533623695373535
0.54,-0.014747853390872478,0.009914286434650421,-0.04338784143328667,0.423846960067749,0.15278883278369904,10.046395301818848
0.56,0.012228668667376041,-0.013093359768390656,-0.0538175031542778,0.5466768741607666,0.2058781236410141,9.25684642791748
0.58,-0.029174014925956726,0.019970810040831566,-0.04520609229803085,0.3716406524181366,0.053188566118478775,8.773736000061035
