time,Lvel,Rvel,Lcur,Rcur
0.0,0.29953202263568723,0.29894316544833005,9.26,10.18
0.06666666666666667,0.5719707177951043,0.5747130431543959,8.47,8.6
0.13333333333333333,0.568045660555792,0.5686264843395913,6.76,6.9
0.2,0.5751136100450005,0.5751136100450005,5.85,6.37
0.26666666666666666,0.2957616239971863,0.2940790357443578,5.32,5.19
0.3333333333333333,0.5528225261374143,0.5545543057180746,3.35,4.53
0.4,0.5785285247400849,0.5761558855408775,3.48,6.64
0.4666666666666667,0.5693444136907767,0.5703196524946321,2.83,4.27
0.5333333333333333,0.30725784868717393,0.3078318048179719,2.17,2.57
0.6,0.5878083597134939,0.5897895136053493,2.3,2.3
0.6666666666666666,0.5578078077996015,0.5576167777284372,4.66,4.66
0.7333333333333333,0.5633153294983355,0.5637030207092772,6.37,5.98
0.8,0.29347290362240236,0.2930885252286599,2.83,4.4
0.8666666666666667,0.5695020486874057,0.5683449161807601,2.17,2.96
0.9333333333333333,0.5605106822810091,0.5630267868630716,5.45,5.32
1.0,0.56930770953316,0.5722524045824694,7.95,5.98
1.0666666666666667,0.2953504920667883,0.29691526288568526,11.49,6.76
1.1333333333333333,0.5652756260939921,0.5633450399392995,7.16,6.9
1.2,0.5702737709790703,0.5698854333754073,3.09,4.4
1.2666666666666666,0.5692389849825331,0.5678813451546362,2.17,4.66
1.3333333333333333,0.2887490366056194,0.29027579952223864,4.27,3.75
1.4,0.5875498525512822,0.5899636143556696,3.75,2.69
1.4666666666666666,0.560500178203828,0.5593539610704868,2.17,2.17
1.5333333333333332,0.5674014997092981,0.567789732004686,2.17,2.57
1.6,0.2958850571701428,0.2968635130470282,5.32,7.03
1.6666666666666667,0.5549508353248622,0.5509747290328724,5.06,6.9
1.7333333333333334,0.5558557902655277,0.5604512222208748,6.37,3.35
1.8,0.5798697623010837,0.5802613016409224,6.11,3.22
1.8666666666666667,0.3096906785331685,0.31066088742581627,5.85,4.53
1.9333333333333333,0.569707488218371,0.5663963677740249,5.71,7.16
2.0,0.5689518229748107,0.5662689918796111,3.75,7.29
2.0666666666666664,0.3191503107029423,0.3203441397953473,2.57,6.11
2.1333333333333333,0.5607661753476048,0.5609576284631212,2.17,4.66
2.2,0.5767015581836152,0.57592117718472,3.88,6.37
2.2666666666666666,0.5996922868187129,0.6024983336153246,4.4,6.11
2.3333333333333335,0.2776259911991094,0.27799152904137286,3.75,5.32
2.4,0.5946434424704593,0.5938406838576069,4.93,4.01
2.466666666666667,0.5491232590257801,0.5516849803274666,3.48,3.09
2.533333333333333,0.30602004481566175,0.30541922012034306,2.3,2.83
2.6,0.544217016315277,0.5412822430557406,3.22,4.53
2.6666666666666665,0.6357737752694469,0.6372607169423122,5.19,6.11
2.7333333333333334,0.5178099649367917,0.5156790597312906,6.37,8.47
2.8,0.3393457266064723,0.3408359525075044,6.64,8.6
2.8666666666666667,0.5688972962268602,0.5688972962268602,5.19,7.03
2.933333333333333,0.5684032518523328,0.5682095880527238,3.09,3.22
3.0,0.5691650984833223,0.5711102970427322,3.22,2.69
3.0666666666666664,0.28946720703240386,0.290040409422567,6.5,4.01
3.1333333333333333,0.5794779475019162,0.5788815722557735,5.71,5.71
3.2,0.5067654201250418,0.5038301519335168,3.35,5.85
3.2666666666666666,0.6390486943356859,0.6394862490733345,3.75,5.85
3.3333333333333335,0.2979520656535751,0.2965835194202582,2.3,6.5
3.4,0.5510108077717994,0.5549885413445763,6.11,4.01
3.466666666666667,0.5745898950782785,0.5749821066107551,3.09,3.22
3.533333333333333,0.5762988852375385,0.5768891538123807,2.69,2.69
3.6,0.28549646066417916,0.28455422812073305,5.19,5.58
3.6666666666666665,0.5135655170162006,0.5132126722776117,5.45,6.11
3.7333333333333334,0.6476835123921678,0.6481250144456048,2.17,2.69
3.8,0.5748834109352002,0.5750794830398849,2.3,2.69
3.8666666666666667,0.29265375350300254,0.29226994530168715,1.12,1.78
3.933333333333333,0.5740790092648753,0.573293406788974,1.25,2.83
4.0,0.5613500879907058,0.5609650742129344,3.61,6.11
4.066666666666666,0.5600444344581103,0.5585047934011809,4.14,7.82
4.133333333333333,0.28674500134875514,0.2897954800865078,10.31,7.29
4.2,0.5772065374995421,0.5803531489475805,8.6,6.5
