acc = 85.10
ap = 22.39
p-CON = 89.81
r-CON = 73.48
f-CON = 80.83
p-DIR = 85.11
r-DIR = 83.33
f-DIR = 84.21
p-PLO = 94.61
r-PLO = 98.75
f-PLO = 96.64
p-UNP = 73.56
r-UNP = 86.11
f-UNP = 79.34
