time,velL,velR,curL,curR
0.0,0.5727191801938194,0.5738931860295431,5.32,5.58
0.06666666666666667,0.2923441390172656,0.2927280446495929,4.93,4.4
0.13333333333333333,0.5587071119855359,0.5594714172002904,4.66,4.8
0.2,0.5329891213948003,0.5361092367748662,6.11,4.27
0.26666666666666666,0.5964733537226521,0.5944327332856947,10.18,4.53
0.3333333333333333,0.28028573141348917,0.2773527217976515,7.95,7.95
0.4,0.6059822917900031,0.6049471324258247,7.03,8.34
0.4666666666666667,0.5739626893342112,0.5755250239768358,4.27,7.03
0.5333333333333333,0.5542342690702929,0.5559378580121075,2.3,2.57
0.6,0.3045436340532463,0.3039449244188035,1.78,1.38
0.6666666666666666,0.5595595888635326,0.5584109889548151,0.86,2.04
0.7333333333333333,0.5612025274129556,0.5590840552779033,2.17,2.96
0.8,0.5851815720963682,0.5847793854488793,3.48,7.29
0.8666666666666667,0.2937259545254814,0.2933404873935582,4.53,8.34
0.9333333333333333,0.5530278898860861,0.5568170498030857,5.06,7.95
1.0,0.5715375607732037,0.5711475658494417,5.98,5.19
1.0666666666666667,0.5634206162259874,0.5626503898196633,2.96,4.01
1.1333333333333333,0.3007457774693306,0.3019077057789353,4.27,3.88
1.2,0.5803716276471056,0.5809535510705485,5.98,5.85
1.2666666666666666,0.5709459511590073,0.5705551599535597,7.42,6.37
1.3333333333333333,0.5807359232910627,0.5819087322913139,6.64,5.45
1.4,0.2765381924111318,0.3191254459835253,5.45,4.01
1.4666666666666666,0.44077515350988217,0.725126936538183,0.86,9.0
1.5333333333333332,0.41872124579220066,0.7437426323861467,0.59,6.24
1.6,0.2191136644961953,0.39212859147954676,0.86,6.11
1.6666666666666667,0.41487994588512556,0.7391288519664737,2.3,7.82
1.7333333333333334,0.40602901165885047,0.7188990304557872,3.75,9.66
1.8,0.4194860994490684,0.7387734061955573,2.04,9.66
1.8666666666666667,0.2130371021916594,0.37866812805547445,0.0,9.52
1.9333333333333333,0.4282335776746359,0.7310922744198266,0.0,9.0
2.0,0.5541492163759643,0.6466076994557035,3.22,4.93
2.0666666666666664,0.5502680029676199,0.5502680029676199,2.17,9.26
2.1333333333333333,0.3106181844246388,0.31198139902712935,3.35,10.44
2.2,0.5800240746116415,0.5837560276822888,3.48,8.21
2.2666666666666666,0.5548365970164044,0.5569267348818773,7.55,5.98
2.3333333333333335,0.3047324803229061,0.30393579409983973,4.27,4.14
2.4,0.5524105259405913,0.5529769072043718,4.27,3.48
2.466666666666667,0.5657942197944065,0.563283012946565,3.09,3.48
2.533333333333333,0.5710746376372071,0.5730343996057631,3.75,4.8
2.6,0.28917627654692707,0.2905106430174798,5.06,3.22
2.6666666666666665,0.5841442117064415,0.5829447369390771,5.58,3.48
2.7333333333333334,0.5788971081164601,0.5751533895820106,4.4,5.32
2.8,0.5470645925179114,0.5459431755192413,2.43,5.58
2.8666666666666667,0.2947893086599209,0.29615227111739745,3.09,5.98
2.933333333333333,0.5663799295829116,0.5687171232400625,5.45,6.24
3.0,0.5748293339786886,0.5767979275882047,8.08,5.85
3.0666666666666664,0.5659313112332666,0.5641953256159865,7.55,5.71
3.1333333333333333,0.2937817855730042,0.2918691437398467,2.43,3.88
3.2,0.5446343732437758,0.5451931636404007,2.17,3.22
3.2666666666666666,0.5897370601094706,0.5903433696298025,2.96,3.22
3.3333333333333335,0.5789548736381427,0.5795507105578389,3.75,3.48
3.4,0.28753026920031893,0.28790909695947614,4.8,3.88
3.466666666666667,0.5695375111791575,0.5679792690145086,4.8,3.88
3.533333333333333,0.5817732470189811,0.5795898605579751,4.14,6.11
3.6,0.5513478000091347,0.5530454155411506,3.09,5.32
3.6666666666666665,0.2703993246125516,0.27164622531893357,4.01,3.22
3.7333333333333334,0.6196426107817733,0.6183702440245212,4.53,3.22
3.8,0.5695772423162275,0.5686022727128106,3.61,5.58
3.8666666666666667,0.5676680195154441,0.5670849986121418,5.19,7.55
3.933333333333333,0.2981756348782473,0.29837154528224086,4.53,6.76
4.0,0.5602543610842999,0.5596807218067392,3.88,5.98
4.066666666666666,0.5675685628098814,0.5683455218281016,3.48,5.45
4.133333333333333,0.5829727576588389,0.5847726735486947,5.19,4.8
4.2,0.28947180761258473,0.28985369654083354,6.5,4.93
4.266666666666667,0.5628600441516834,0.5645954810812364,7.03,4.8
4.333333333333333,0.5715993728755252,0.5708200962935546,7.82,3.61
4.4,0.5660431638061083,0.5643068350827767,4.53,2.57
4.466666666666667,0.3014137832210479,0.30064339655466826,2.17,2.83
4.533333333333333,0.5814493406204437,0.5800930775800095,2.17,2.69
4.6,0.5654884070133142,0.5674376948692719,4.14,5.32
4.666666666666667,0.5595257567651414,0.559336919182703,6.64,6.5
4.733333333333333,0.3205205450752702,0.3207207452908076,6.24,6.11
4.8,0.5640849273114822,0.5636996233993842,4.93,4.66
4.866666666666666,0.5619006891583271,0.5596273215690148,3.22,5.19
4.933333333333334,0.31773532489358614,0.31713657742205303,4.01,7.69
5.0,0.5694427246808572,0.5690537610711025,3.35,7.95
5.066666666666666,0.5621495829661867,0.5634803395034755,4.01,7.42
5.133333333333333,0.5910664305157299,0.5910664305157299,5.06,6.24
5.2,0.28531436913880276,0.2868140504483365,4.66,6.24
5.266666666666667,0.5853070475755511,0.5860980030452477,4.27,4.53
5.333333333333333,0.5807548915324234,0.5824931003863615,2.69,2.57
5.4,0.5756631144045857,0.576451694013359,2.83,1.78
5.466666666666667,0.3137984238902293,0.31399528613859207,4.01,1.91
5.533333333333333,0.5727829734444169,0.5704624482312727,5.58,4.01
5.6,0.5694644093883202,0.5684889650419886,6.11,5.45
5.666666666666667,0.27907757767082686,0.27834509059032597,5.98,6.5
5.733333333333333,0.5940393215641443,0.5950554681969943,6.24,6.64
5.8,0.5461616162491462,0.5456031687887687,4.93,5.45
5.866666666666666,0.5855738075110005,0.5835684177592505,3.61,4.4
5.933333333333334,0.30268869736509035,0.30209089216950424,4.14,6.76
6.0,0.5570504205687042,0.5570504205687042,4.01,6.76
6.066666666666666,0.5840637420842175,0.5842636270062176,4.27,6.24
6.133333333333333,0.548803967084219,0.5504960656466575,5.98,7.03
6.2,0.2988000845093641,0.2988000845093641,4.53,4.4
6.266666666666667,0.5642096805238841,0.5634399538110274,4.01,4.01
6.333333333333333,0.5572316560375794,0.5561190470737772,2.69,3.48
6.4,0.6162157245301048,0.6172583907306632,3.35,4.66
6.466666666666667,0.3029499763673761,0.3048771390669141,4.4,4.01
6.533333333333333,0.5499460821476317,0.5507157757545563,5.06,4.53
6.6,0.5605973595333691,0.5611737104855966,8.47,4.27
6.666666666666667,0.5759992013017929,0.5750176075708764,7.55,4.27
6.733333333333333,0.2967025156263744,0.29650897191102776,4.14,3.22
