time,curL,curR,velL,velR
1687554813.4930272,0.59,0.59,0.0,0.0
1687554813.605519,0.59,0.59,0.0,0.0
1687554813.717239,0.59,0.0,0.0,0.0
1687554813.860779,0.59,0.0,0.0,0.0
1687554814.0209663,0.59,0.59,0.0,0.0
1687554814.1964366,0.59,0.59,0.0,0.0
1687554814.3726494,0.59,0.0,0.0,0.0
1687554814.5321703,0.59,0.0,0.0,0.0
1687554814.6918137,0.59,0.0,0.0,0.0
1687554814.8038764,0.59,0.0,0.0,0.0
1687554814.9165058,0.59,0.0,0.0,0.0
1687554815.059673,0.59,0.59,0.0,0.0
1687554815.2192574,0.59,0.0,0.0,0.0
1687554815.3955052,0.59,0.0,0.0,0.0
1687554815.5722525,0.59,0.59,0.0,0.0
1687554815.7471876,0.59,0.59,0.0,0.0
1687554815.9066577,0.59,0.59,0.0,0.0
1687554816.066759,11.23,2.96,1.0902483343428224,1.150817686250757
1687554816.2428825,1.51,1.12,1.45366444579043,1.5142337976983646
1687554816.4190454,4.53,2.96,1.6959418534221686,1.877649909145972
1687554816.594617,0.0,2.83,1.635372501514234,1.9382192610539069
1687554816.753871,0.59,2.96,1.635372501514234,1.9382192610539069
1687554816.9142082,0.59,3.22,1.6959418534221686,1.877649909145972
1687554817.025951,2.57,4.27,1.8170805572380373,1.8170805572380373
1687554817.177455,0.59,2.17,1.877649909145972,1.6959418534221686
1687554817.3135066,1.51,2.04,1.877649909145972,1.6959418534221686
1687554817.4579084,2.3,1.38,1.877649909145972,1.45366444579043
1687554817.6178167,0.59,0.73,1.8170805572380373,1.150817686250757
1687554817.794017,8.73,0.0,1.8170805572380373,1.150817686250757
1687554817.953856,6.9,0.0,1.6959418534221686,0.8479709267110843
1687554818.1131375,5.32,8.87,1.3930950938824955,0.1817080557238037
1687554818.2248952,9.66,0.0,1.5142337976983646,0.3634161114476075
1687554818.337547,9.39,0.59,1.6959418534221686,0.8479709267110843
1687554818.4979496,7.16,0.59,1.6959418534221686,1.029678982434888
1687554818.6573596,7.69,0.0,1.8170805572380373,1.029678982434888
1687554818.816872,7.95,0.59,1.8170805572380373,1.0902483343428224
1687554818.9762106,7.69,0.59,1.8170805572380373,1.0902483343428224
1687554819.1370473,7.82,0.59,1.8170805572380373,1.0902483343428224
1687554819.2482927,6.37,0.0,1.635372501514234,0.7874015748031497
1687554819.3601775,6.76,0.0,1.45366444579043,0.3028467595396729
1687554819.5040262,10.05,0.59,1.6959418534221686,0.7874015748031497
1687554819.6634824,6.5,0.0,1.6959418534221686,0.7874015748031497
1687554819.8395495,7.95,0.0,1.6959418534221686,0.7874015748031497
1687554820.0159316,7.42,0.59,1.877649909145972,1.3325257419745609
1687554820.1767244,8.87,0.0,1.877649909145972,1.3325257419745609
1687554820.3350654,6.37,0.59,1.877649909145972,1.3325257419745609
1687554820.4477413,8.21,0.59,1.877649909145972,1.3325257419745609
1687554820.560773,7.29,0.59,1.877649909145972,1.3325257419745609
1687554820.7193625,7.55,0.0,1.6959418534221686,1.0902483343428224
1687554820.8787315,7.95,0.0,1.6959418534221686,0.9085402786190188
1687554821.0222342,8.34,0.59,1.8170805572380373,1.0902483343428224
1687554821.1505997,8.87,0.59,1.877649909145972,1.3930950938824955
1687554821.2639754,6.5,0.59,1.877649909145972,1.3930950938824955
1687554821.4060152,7.55,0.0,1.877649909145972,1.3930950938824955
1687554821.5665636,7.16,0.0,1.877649909145972,1.635372501514234
1687554821.7264633,6.37,0.59,1.877649909145972,1.6959418534221686
1687554821.8863175,4.8,0.59,1.8170805572380373,1.5142337976983646
1687554822.062209,6.76,0.59,1.8170805572380373,1.3325257419745609
1687554822.2375338,7.55,0.59,1.8170805572380373,1.3325257419745609
1687554822.4137018,8.21,0.59,1.8170805572380373,1.3325257419745609
1687554822.5903363,7.82,0.59,1.8170805572380373,1.3325257419745609
1687554822.748803,7.82,0.59,1.877649909145972,1.5748031496062993
1687554822.908687,6.37,0.59,1.8170805572380373,1.5142337976983646
