time,curL,curR,velL,velR
0.0,1.51,9.52,1.8170805572380373,1.6959418534221686
0.1595911979675293,0.59,2.3,1.877649909145972,1.45366444579043
0.3199009895324707,0.59,0.86,1.8170805572380373,1.2113870381586918
0.49549269676208496,2.69,1.25,1.8170805572380373,1.2113870381586918
0.6715967655181885,5.06,0.86,1.8170805572380373,1.2113870381586918
0.8305301666259766,5.71,0.59,1.8170805572380373,1.2113870381586918
0.9910292625427246,11.1,0.59,1.8170805572380373,1.029678982434888
1.102717638015747,8.47,0.0,1.6959418534221686,0.9691096305269534
1.2139742374420166,21.6,0.0,3.3918837068443373,1.9987886129618413
1.3580725193023682,9.66,0.59,3.6947304663840095,1.6959418534221686
1.518477439880371,18.32,0.59,3.815869170199879,2.604482132041188
1.695746898651123,12.41,0.59,3.634161114476075,3.634161114476075
1.8699002265930176,6.11,0.59,3.634161114476075,3.634161114476075
2.046060085296631,2.04,1.78,3.634161114476075,3.634161114476075
2.2228353023529053,2.17,2.3,3.634161114476075,3.634161114476075
2.3817293643951416,1.78,2.69,3.634161114476075,3.634161114476075
2.5411365032196045,1.78,2.69,3.634161114476075,3.634161114476075
2.7171006202697754,2.04,2.43,3.634161114476075,3.634161114476075
2.893477439880371,1.91,2.57,3.634161114476075,3.634161114476075
3.071777105331421,2.17,2.69,3.634161114476075,3.634161114476075
3.2286112308502197,2.96,2.57,3.634161114476075,3.634161114476075
3.388883113861084,2.04,2.69,3.634161114476075,3.634161114476075
3.500427722930908,3.35,3.09,3.634161114476075,3.634161114476075
3.64408016204834,2.17,2.69,3.634161114476075,3.634161114476075
3.7885329723358154,2.43,2.83,3.634161114476075,3.634161114476075
3.9326729774475098,1.25,2.57,3.634161114476075,3.634161114476075
4.091553449630737,0.86,2.83,3.5735917625681406,3.634161114476075
4.251444578170776,2.17,2.96,3.452453058752272,3.6947304663840095
4.411705493927002,0.59,2.96,3.3918837068443373,3.815869170199879
4.523108243942261,0.59,4.8,3.1496062992125986,4.058146577831618
4.636528253555298,0.0,7.16,2.846759539672925,4.058146577831618
4.779620885848999,0.0,4.93,2.7256208358570566,4.058146577831618
4.938773155212402,0.0,12.54,2.6650514839491217,4.058146577831618
5.114635705947876,0.0,12.28,2.6650514839491217,4.058146577831618
5.290803670883179,0.0,11.23,2.6650514839491217,4.058146577831618
5.466583967208862,0.0,13.07,2.604482132041188,4.058146577831618
5.642634868621826,0.0,12.41,2.604482132041188,4.058146577831618
5.80186915397644,0.59,13.33,2.7256208358570566,4.058146577831618
5.962028503417969,0.0,9.39,3.270745003028468,3.937007874015748
6.138298749923706,0.0,10.18,3.270745003028468,3.937007874015748
6.313368797302246,0.59,8.6,3.3313143549364024,3.8764385221078137
6.473151206970215,0.59,7.29,3.634161114476075,3.634161114476075
6.633739709854126,0.0,4.53,3.634161114476075,3.634161114476075
6.7455894947052,0.0,4.93,3.634161114476075,3.634161114476075
6.856919765472412,0.59,3.75,3.634161114476075,3.634161114476075
7.000698089599609,0.59,3.88,3.634161114476075,3.634161114476075
7.145391941070557,0.99,3.88,3.634161114476075,3.634161114476075
7.272873163223267,0.86,4.01,3.634161114476075,3.634161114476075
7.385119199752808,0.59,3.35,3.634161114476075,3.634161114476075
7.5310351848602295,0.86,3.35,3.634161114476075,3.634161114476075
7.671986103057861,1.25,3.48,3.634161114476075,3.634161114476075
7.8323869705200195,1.64,3.61,3.634161114476075,3.634161114476075
8.008443117141724,0.73,2.83,3.634161114476075,3.5735917625681406
8.184342384338379,2.04,2.43,3.755299818291944,3.1496062992125986
8.359872579574585,2.04,2.43,3.815869170199879,2.846759539672925
8.536095380783081,4.8,0.59,3.815869170199879,2.846759539672925
8.695989608764648,10.05,0.59,3.815869170199879,2.846759539672925
8.855244636535645,8.87,0.59,3.755299818291944,2.362204724409449
8.999095916748047,12.81,0.59,3.755299818291944,2.301635372501514
9.254941701889038,9.52,0.0,3.755299818291944,2.786190187764991
9.39933466911316,9.13,0.59,3.815869170199879,3.3313143549364024
9.559081315994263,5.58,0.59,3.755299818291944,3.3918837068443373
9.719139099121094,5.58,0.59,3.755299818291944,3.3918837068443373
9.87869668006897,6.5,0.0,3.755299818291944,3.3918837068443373
9.990761041641235,6.9,0.59,3.755299818291944,3.3918837068443373
