time,velL,velR,curL,curR
0.0,0.5783995664280722,0.5797818801750837,2.57,3.75
0.06666666666666667,0.558985985980883,0.5591768964952207,3.22,2.83
0.13333333333333333,0.5742050127432555,0.5726377523877639,0.86,1.91
0.2,0.2913615101780009,0.29212724345047925,1.25,1.91
0.26666666666666666,0.5686625437801017,0.5680770984707879,2.17,1.78
0.3333333333333333,0.57079138967893,0.5698123306914876,2.69,4.4
0.4,0.5605356305373473,0.5618766248687764,3.61,3.48
0.4666666666666667,0.3029537981958753,0.3019650455907974,2.3,2.69
0.5333333333333333,0.49230823735970686,0.49315238728659255,2.17,2.69
0.6,0.654032284364935,0.6542562680239641,2.17,2.83
0.6666666666666666,0.5742428318169851,0.5752244434953047,2.3,2.83
0.7333333333333333,0.28771439292472695,0.2873375567846814,2.3,2.96
0.8,0.5857139416591398,0.5845066989075237,2.43,2.83
0.8666666666666667,0.5618744181683041,0.5614961789100286,2.69,2.69
0.9333333333333333,0.5878806201756689,0.5878806201756689,1.91,1.91
1.0,0.2877530362305322,0.28851177858051386,1.64,1.91
1.0666666666666667,0.5833220137498945,0.5815495970977173,2.04,2.3
1.1333333333333333,0.5608827682098948,0.5625699155741626,2.04,2.69
1.2,0.3090286325512784,0.308620404502994,4.01,3.61
1.2666666666666666,0.5723113811057639,0.5715395518662416,5.32,4.01
1.3333333333333333,0.5798303708014739,0.5800230054761588,2.43,3.09
1.4,0.5714115172531739,0.5716068716180468,2.17,2.69
1.4666666666666666,0.2970575310182092,0.2970575310182092,2.17,2.69
1.5333333333333332,0.6078128643920515,0.6092339365532888,2.3,2.83
1.6,0.5453422295404216,0.5432955681535417,2.96,3.35
1.6666666666666667,0.5842183185576927,0.5855824040246386,2.3,2.69
1.7333333333333334,0.300704304812239,0.3001260273029847,2.17,2.69
1.8,0.5690068446105448,0.5699808378399365,3.35,2.83
1.8666666666666667,0.5635563374765353,0.5635563374765353,2.69,2.83
1.9333333333333333,0.2984891380823847,0.2986860306536791,4.01,3.22
2.0,0.5813670093036831,0.5805736049921121,3.88,3.22
2.0666666666666664,0.5527630866418962,0.5523856451351418,2.3,2.57
2.1333333333333333,0.5800189024426066,0.5800189024426066,2.96,2.83
2.2,0.28679262392051436,0.2851034003503019,2.43,3.88
2.2666666666666666,0.5694563622751058,0.5708200962935546,2.3,3.48
2.3333333333333335,0.5663625668986432,0.568888369083783,2.83,2.57
2.4,0.5724720684595082,0.5689539744915084,2.69,3.48
2.466666666666667,0.29478649246015803,0.29692403459401545,2.69,3.35
2.533333333333333,0.5667132993576418,0.5665198818493286,2.3,2.57
2.6,0.5711786308535528,0.5707891466183986,1.12,1.91
2.6666666666666665,0.5549161609398278,0.5537735744725529,1.51,2.83
2.7333333333333334,0.31055819241808474,0.31133604637529977,2.17,3.48
2.8,0.57514311734312,0.57514311734312,2.83,3.35
2.8666666666666667,0.5748398730680239,0.5752335990084815,2.96,3.48
2.933333333333333,0.5693825793923918,0.5707456703827293,2.69,3.48
3.0,0.2928365994673333,0.29169270650066403,2.17,2.83
3.0666666666666664,0.5695802549424953,0.5703618401979909,2.17,2.57
3.1333333333333333,0.5608483785781889,0.5593144342948981,1.51,2.3
