time,curL,curR,velL,velR
1700842120.314271,0.59,0.0,0.0,0.0
1700842120.4266276,0.59,0.0,0.0,0.0
1700842120.5378375,0.59,0.0,0.0,0.0
1700842120.68248,0.59,0.0,0.0,0.0
1700842120.8416076,0.59,0.0,0.0,0.0
1700842121.0180316,0.59,0.0,0.0,0.0
1700842121.1942675,0.59,0.0,0.0,0.0
1700842121.3699837,0.59,0.0,0.0,0.0
1700842121.5293095,0.59,0.0,0.0,0.0
1700842121.6895378,0.59,0.0,0.0,0.0
1700842121.8016768,0.59,0.0,0.0,0.0
1700842121.9448483,0.59,0.0,0.0,0.0
1700842122.0894191,0.59,0.0,0.0,0.0
1700842122.232999,0.59,0.0,0.0,0.0
1700842122.3929925,0.59,0.0,0.0,0.0
1700842122.568701,0.59,0.0,0.0,0.0
1700842122.728326,2.83,9.39,1.8170805572380373,1.8170805572380373
1700842122.889032,6.5,6.11,1.8170805572380373,1.8170805572380373
1700842123.0005026,7.16,4.53,1.8170805572380373,1.8170805572380373
1700842123.1138785,7.42,5.58,1.8170805572380373,1.8170805572380373
1700842123.2562869,7.42,9.13,1.8170805572380373,1.8170805572380373
1700842123.419777,10.05,10.05,1.8170805572380373,1.8170805572380373
1700842123.5601325,7.95,9.66,1.8170805572380373,1.8170805572380373
1700842123.671663,7.03,8.6,1.8170805572380373,1.8170805572380373
1700842123.8177428,7.16,7.95,1.8170805572380373,1.8170805572380373
1700842123.9595065,6.5,8.47,1.8170805572380373,1.8170805572380373
1700842124.1200871,5.85,7.55,1.8170805572380373,1.8170805572380373
1700842124.2956688,4.93,7.42,1.8170805572380373,1.8170805572380373
1700842124.4716594,5.06,6.64,1.8170805572380373,1.8170805572380373
1700842124.6476169,5.85,6.9,1.8170805572380373,1.8170805572380373
1700842124.8071325,6.11,6.11,1.8170805572380373,1.8170805572380373
1700842124.9674857,5.32,5.45,1.8170805572380373,1.8170805572380373
1700842125.143514,4.27,4.66,1.8170805572380373,1.8170805572380373
1700842125.3186438,4.93,5.06,1.8170805572380373,1.8170805572380373
1700842125.4948134,5.98,5.58,1.8170805572380373,1.8170805572380373
1700842125.671156,6.11,7.03,1.8170805572380373,1.8170805572380373
1700842125.846851,5.71,7.95,1.8170805572380373,1.8170805572380373
1700842126.0063124,5.45,8.08,1.8170805572380373,1.8170805572380373
1700842126.1661863,6.5,8.47,1.8170805572380373,1.8170805572380373
1700842126.2779734,7.03,9.0,1.8170805572380373,1.8170805572380373
1700842126.3899484,4.93,9.78,1.8170805572380373,1.8170805572380373
1700842126.533879,7.42,9.52,1.8170805572380373,1.8170805572380373
1700842126.6938806,5.32,9.26,1.8170805572380373,1.8170805572380373
1700842126.87011,6.24,8.73,1.8170805572380373,1.8170805572380373
1700842127.0456374,5.32,8.08,1.8170805572380373,1.8170805572380373
1700842127.2052732,5.85,7.82,1.8170805572380373,1.8170805572380373
1700842127.365988,8.47,9.52,1.8170805572380373,1.8170805572380373
1700842127.4770532,7.29,5.19,1.8170805572380373,1.8170805572380373
1700842127.6209407,4.53,7.69,1.8170805572380373,1.8170805572380373
1700842127.765212,9.26,9.0,1.8170805572380373,1.8170805572380373
1700842127.9094868,3.35,8.21,1.8170805572380373,1.8170805572380373
1700842128.0693803,6.37,10.44,1.8170805572380373,1.8170805572380373
1700842128.2455103,5.32,7.95,1.8170805572380373,1.8170805572380373
1700842128.427045,6.9,7.55,1.8170805572380373,1.8170805572380373
1700842128.59691,7.82,7.42,1.8170805572380373,1.8170805572380373
1700842128.75616,7.16,9.26,1.8170805572380373,1.8170805572380373
1700842128.916688,4.66,10.18,1.8170805572380373,1.8170805572380373
1700842129.0286646,8.73,9.0,1.8170805572380373,1.8170805572380373
1700842129.172505,7.03,9.66,1.8170805572380373,1.8170805572380373
1700842129.3158698,8.21,8.6,1.8170805572380373,1.8170805572380373
1700842129.4604151,6.5,11.23,1.8170805572380373,1.8170805572380373
1700842129.6230805,5.45,5.85,1.8170805572380373,1.8170805572380373
1700842129.7957027,7.16,9.78,1.8170805572380373,1.8170805572380373
1700842129.9722157,6.11,9.0,1.8170805572380373,1.8170805572380373
1700842130.1313615,6.76,10.05,1.8170805572380373,1.8170805572380373
1700842130.2919846,8.6,8.47,1.8170805572380373,1.8170805572380373
1700842130.4032118,7.03,7.69,1.8170805572380373,1.8170805572380373
1700842130.5150409,7.42,6.9,1.8170805572380373,1.8170805572380373
1700842130.6598265,7.16,7.95,1.8170805572380373,1.8170805572380373
1700842130.819195,5.98,9.52,1.8170805572380373,1.8170805572380373
1700842130.9955902,5.98,10.18,1.8170805572380373,1.8170805572380373
1700842131.17108,4.53,7.69,1.8170805572380373,1.8170805572380373
1700842131.3463366,4.8,8.21,1.8170805572380373,1.8170805572380373
1700842131.5230095,6.64,9.26,1.8170805572380373,1.8170805572380373
1700842131.698624,5.06,7.42,1.8170805572380373,1.8170805572380373
1700842131.877094,8.73,7.03,1.8170805572380373,1.8170805572380373
1700842132.0340295,5.45,6.9,1.8170805572380373,1.8170805572380373
1700842132.1939228,6.24,5.98,1.8170805572380373,1.8170805572380373
1700842132.370375,5.85,5.32,1.8170805572380373,1.8170805572380373
1700842132.5462935,6.24,7.29,1.8170805572380373,1.8170805572380373
1700842132.705444,4.8,8.34,1.8170805572380373,1.8170805572380373
1700842132.8341727,6.37,8.08,1.8170805572380373,1.8170805572380373
1700842132.9459186,6.11,7.42,1.8170805572380373,1.8170805572380373
1700842133.0895646,6.37,5.98,1.8170805572380373,1.8170805572380373
1700842133.2496889,5.32,6.76,1.8170805572380373,1.8170805572380373
1700842133.409121,5.58,7.03,1.8170805572380373,1.8170805572380373
1700842133.569181,5.85,7.16,1.8170805572380373,1.8170805572380373
1700842133.6812744,5.32,6.37,1.8170805572380373,1.8170805572380373
1700842133.793271,6.37,7.69,1.8170805572380373,1.8170805572380373
1700842133.937215,4.4,5.85,1.8170805572380373,1.8170805572380373
1700842134.0966856,4.27,5.19,1.8170805572380373,1.8170805572380373
1700842134.273364,5.06,5.71,1.8170805572380373,1.8170805572380373
1700842134.4329665,5.58,5.45,1.8170805572380373,1.8170805572380373
1700842134.5930636,6.11,6.11,1.8170805572380373,1.8170805572380373
1700842134.704482,6.64,5.45,1.8170805572380373,1.8170805572380373
1700842134.816077,6.11,5.71,1.8170805572380373,1.8170805572380373
1700842134.960539,5.85,6.64,1.8170805572380373,1.8170805572380373
1700842135.1206243,4.8,5.45,1.8170805572380373,1.8170805572380373
1700842135.2637954,3.61,4.93,1.8170805572380373,1.8170805572380373
1700842135.3762884,4.27,5.19,1.8170805572380373,1.8170805572380373
1700842135.520387,4.66,5.45,1.8170805572380373,1.8170805572380373
1700842135.663747,4.14,6.37,1.8170805572380373,1.8170805572380373
1700842135.823886,5.32,6.76,1.8170805572380373,1.8170805572380373
1700842135.983993,4.8,6.64,1.8170805572380373,1.8170805572380373
1700842136.1437824,5.58,6.37,1.8170805572380373,1.8170805572380373
