time,gyrX,gyrY,gyrZ,accX,accY,accZ
0.0,-0.04888878017663956,0.13150309026241302,-0.010670351795852184,0.5155280232429504,-0.35280340909957886,10.279376983642578
0.02,-0.005499133840203285,0.02185598574578762,-0.02098509669303894,0.3459175229072571,-0.21618947386741638,9.333001136779785
0.04,0.007669475860893726,-0.028620142489671707,-0.017897969111800194,0.07369310408830643,0.3794933557510376,9.478169441223145
0.06,0.0031531043350696564,-0.02983192913234234,-0.025181762874126434,-0.28352534770965576,0.8799675703048706,10.00938892364502
0.08,-0.09424474835395813,-0.030998418107628822,-0.03024372272193432,-0.6960627436637878,0.7262173891067505,10.632476806640625
0.1,-0.017188705503940582,-0.040085095912218094,0.017707914113998413,-1.940835952758789,0.40074771642684937,10.007201194763184
0.12,-0.05144915729761124,-0.0405706912279129,0.09910445660352707,-2.88059663772583,-0.5278375148773193,8.927220344543457
0.14,-0.04078499227762222,-0.01562987081706524,0.11103799939155579,-2.9163296222686768,-1.0827428102493286,9.007465362548828
0.16,-0.016451168805360794,-0.0006715480121783912,0.046964529901742935,-1.6275886297225952,-0.5585659742355347,9.376612663269043
0.18,0.06103527545928955,-0.04709407314658165,-0.009765202179551125,-0.20125176012516022,0.3811405301094055,10.646080017089844
0.2,0.03128623589873314,-0.0566597543656826,-0.04816548526287079,-0.02031794749200344,0.541719913482666,10.44757080078125
0.22,0.02921394072473049,-0.050768859684467316,-0.08530303090810776,-0.033149104565382004,0.0716092586517334,9.529075622558594
0.24,0.040619857609272,-0.05731545761227608,-0.06550044566392899,0.38265329599380493,0.05292568728327751,8.76035213470459
0.26,0.0050489576533436775,-0.062295977026224136,-0.02774757146835327,0.26151007413864136,0.013375506736338139,9.547680854797363
0.28,0.02795393019914627,-0.01731613278388977,0.028736865147948265,0.05012821778655052,0.15543797612190247,10.189467430114746
0.3,0.020203258842229843,-0.017628999426960945,0.04534295201301575,0.19806557893753052,0.1549454927444458,10.179412841796875
0.32,-0.017649883404374123,-0.04054214805364609,0.05053100734949112,0.3358123004436493,0.3117663264274597,9.564155578613281
0.34,-0.037143874913454056,-0.019299868494272232,0.03635554388165474,0.34591832756996155,0.35063087940216064,9.507209777832031
0.36,-0.04693135991692543,0.015640364959836006,0.013726385310292244,0.29879727959632874,-0.03318165987730026,10.43808364868164
0.38,0.012714024633169174,0.009620965458452702,-0.022535130381584167,0.30619722604751587,-0.22776760160923004,10.205231666564941
0.4,-0.03801576793193817,-0.012339935638010502,-0.045328643172979355,0.12905147671699524,0.04694183170795441,9.395639419555664
0.42,-0.07039916515350342,0.01902558095753193,-0.013272048905491829,0.06175011023879051,0.19385676085948944,9.407634735107422
0.44,0.015408371575176716,0.04127940163016319,0.014612391591072083,0.29494160413742065,0.119740329682827,9.646385192871094
0.46,-0.04171498864889145,0.02244730480015278,0.022237710654735565,0.24798992276191711,-0.12147709727287292,9.95291805267334
0.48,-0.030543381348252296,0.05487823486328125,0.0055264923721551895,0.036420561373233795,-0.027707993984222412,10.35584545135498
0.5,-0.01924494467675686,0.061293430626392365,0.004503155592828989,-0.01059618778526783,0.3034297823905945,10.3241548538208
0.52,0.0434294268488884,0.00591825507581234,0.00018414670194033533,-0.03565560653805733,0.07264617830514908,9.743670463562012
0.54,0.05484377592802048,-0.04474543407559395,0.005008154548704624,-0.08663609623908997,-0.3573227524757385,8.863508224487305
0.56,0.004459920804947615,-0.011057060211896896,0.01174469105899334,-0.17134907841682434,-0.4291033446788788,9.187066078186035
0.58,-0.008539573289453983,0.02674880623817444,0.008520667441189289,-0.34995031356811523,-0.01072754617780447,10.014517784118652
0.6,-0.04758288338780403,0.0037804918829351664,-0.003216428216546774,-0.39842426776885986,0.4103274941444397,10.524060249328613
0.62,0.038931604474782944,0.015543559566140175,-0.011188074015080929,-0.4749254286289215,0.9185406565666199,10.81718635559082
0.64,-0.042529456317424774,0.06849095970392227,-0.0065896469168365,-0.5850986838340759,0.3763081431388855,9.755184173583984
0.66,0.016117513179779053,0.060639310628175735,-0.010099010542035103,-0.3322795033454895,-0.2601863145828247,8.861677169799805
0.68,0.00572211341932416,-0.022412890568375587,-0.0026526027359068394,0.04995635151863098,-0.45580407977104187,8.741707801818848
0.7000000000000001,-0.01947004534304142,0.020802702754735947,0.0023344827350229025,0.0512067973613739,-0.17045973241329193,10.218962669372559
0.72,0.0586320161819458,0.05488187447190285,1.2665716894844081e-05,0.08553328365087509,-0.10356885939836502,10.794535636901855
0.74,-0.0349702350795269,0.027208145707845688,0.011838317848742008,0.20998936891555786,0.19541697204113007,10.063631057739258
0.76,0.016973521560430527,-0.04419328272342682,0.01639898307621479,0.35279110074043274,0.5408318042755127,8.988061904907227
0.78,-0.05907769501209259,0.0028580676298588514,-0.004686371423304081,-0.06270769238471985,0.18939317762851715,9.600054740905762
0.8,-0.07398085296154022,0.03884359076619148,-0.01863810233771801,-0.23958462476730347,-0.1512187421321869,10.116406440734863
0.8200000000000001,0.010300414636731148,-0.009186537005007267,-0.03440561145544052,-0.20689503848552704,-0.17297014594078064,9.798480987548828
0.84,0.011000050231814384,-0.04892873764038086,-0.02380027063190937,-0.17455382645130157,-0.042574796825647354,9.738103866577148
0.86,0.03145125135779381,0.02589016780257225,0.004194195847958326,-0.4182667136192322,-0.15655027329921722,10.136096954345703
0.88,-0.035615500062704086,0.04528427869081497,0.023324940353631973,-0.3035071790218353,-0.25223308801651,9.826786041259766
0.9,0.06185571476817131,0.023731309920549393,0.04437648132443428,-0.13467010855674744,0.08686777204275131,9.255380630493164
0.92,0.005755050107836723,0.0010846771765500307,0.025737999007105827,0.018116619437932968,0.1963450312614441,9.441330909729004
0.9400000000000001,-0.011600240133702755,0.018168620765209198,0.012932431884109974,0.030750013887882233,0.5360190272331238,10.327601432800293
0.96,-0.011076893657445908,0.01804637350142002,-0.013768770731985569,0.2546961009502411,0.29884955286979675,10.267984390258789
0.98,0.02380824275314808,-0.005555036477744579,-0.038041096180677414,0.21877628564834595,-0.2701094448566437,9.268538475036621
1.0,-0.01959904097020626,-0.008330103941261768,-0.04775279760360718,-0.022602001205086708,-0.24096457660198212,9.717144012451172
1.02,-0.05669161304831505,0.025957100093364716,-0.03240401670336723,-0.14554588496685028,-0.020865876227617264,10.02536678314209
1.04,-0.03155318647623062,0.004126269835978746,-0.0063849459402263165,-0.17380975186824799,0.21928955614566803,9.402329444885254
1.06,0.008754591457545757,-0.04179861396551132,0.01915225200355053,-0.1728224903345108,0.3288804888725281,9.252607345581055
1.08,0.01361838262528181,-0.012895484454929829,0.060715146362781525,-0.18141256272792816,0.06824208796024323,9.810081481933594
1.1,0.008725641295313835,0.01003411877900362,0.052677325904369354,-0.3142322897911072,0.13368608057498932,10.730523109436035
1.12,0.00042390485759824514,0.009281785227358341,-0.00015631741553079337,-0.48362863063812256,0.04199900105595589,10.484369277954102
1.1400000000000001,-0.00407095393165946,0.009483160451054573,-0.035542067140340805,-0.6431730389595032,-0.1833663433790207,9.85974407196045
1.16,-0.02538432739675045,0.05189862474799156,-0.04947490245103836,-0.6462870836257935,0.09071571379899979,9.523819923400879
1.18,-0.02114708535373211,0.04531549662351608,-0.02383640967309475,-0.4403529167175293,0.11580988019704819,9.20543384552002
1.2,-0.004013506695628166,0.017495715990662575,0.017709793522953987,-0.036212529987096786,-0.23562444746494293,9.203878402709961
1.22,-0.03082096576690674,0.02576807700097561,0.04116927832365036,0.15332013368606567,-0.0921056941151619,10.11022663116455
1.24,0.002854457590728998,0.03589653968811035,0.03221018239855766,0.3030933439731598,0.20513053238391876,10.359723091125488
1.26,0.008557251654565334,0.0026329620741307735,0.006930218543857336,0.3773508667945862,0.40072035789489746,9.945651054382324
1.28,-0.03358960524201393,-0.03680523484945297,-0.018873609602451324,0.10261719673871994,0.203505739569664,9.356573104858398
1.3,-0.0026916267815977335,-0.02654135227203369,-0.029262902215123177,-0.24657949805259705,-0.22646404802799225,9.647310256958008
1.32,-0.004674898460507393,-0.003466947004199028,-0.02179122157394886,-0.36088383197784424,-0.36366814374923706,9.830841064453125
1.34,0.0663795992732048,-0.03194676339626312,0.0033298858907073736,-0.29660946130752563,-0.22008754312992096,9.770160675048828
1.36,-0.009903918020427227,-0.04654962569475174,0.038646794855594635,-0.30213993787765503,0.08986417204141617,9.777891159057617
1.3800000000000001,0.039166536182165146,0.004796311259269714,0.04965187981724739,-0.4268009662628174,0.4225306212902069,9.91540813446045
1.4000000000000001,0.0079274233430624,0.02684647962450981,0.013481530360877514,-0.4488774538040161,0.2768615782260895,9.673876762390137
1.42,-0.0026679481379687786,0.001419002073816955,-0.02184409275650978,-0.35859939455986023,-0.047025591135025024,9.562958717346191
1.44,0.009070242755115032,-0.005837819539010525,-0.03509478271007538,-0.14401714503765106,-0.32898369431495667,9.911240577697754
1.46,0.0029516583308577538,0.03262297436594963,-0.013383805751800537,0.1623155027627945,-0.14842548966407776,10.197890281677246
