time,Lvel,Rvel,Lcur,Rcur
0.0,0.005827529980461683,0.005244776982415515,3.35,3.88
0.06666666666666667,0.09076813353771251,0.0909564491674588,12.41,10.18
0.13333333333333333,0.11970120050194202,0.12110473216611892,15.04,11.1
0.2,0.3681928235089137,0.3689889161002843,11.89,10.05
0.26666666666666666,0.47189490234357806,0.4722698684956191,8.6,7.69
0.3333333333333333,0.5853536804140163,0.5851571870671166,5.71,5.19
0.4,0.30904341574291966,0.30961855857618814,1.64,1.64
0.4666666666666667,0.5872664259751892,0.5864649706002657,1.12,2.04
0.5333333333333333,0.5647963249604617,0.5649845904021152,2.17,2.69
0.6,0.3032453764443832,0.3028558512337931,3.61,2.69
0.6666666666666666,0.5703501112189431,0.5703501112189431,3.48,3.88
0.7333333333333333,0.562060845768117,0.5612922155516821,3.75,4.27
0.8,0.5593383728219538,0.5597217438794054,5.19,4.27
0.8666666666666667,0.29793537930121194,0.2991137657717507,5.19,3.61
0.9333333333333333,0.5797093818524185,0.5785246896551725,2.3,3.22
1.0,0.555356176095499,0.5555462363884818,2.3,2.69
1.0666666666666667,0.5662313423706331,0.5670054111913722,2.17,2.83
1.1333333333333333,0.2999918338369691,0.300189196885546,2.43,2.69
1.2,0.5581084473386675,0.5584904517516303,4.4,2.96
1.2666666666666666,0.561418255008406,0.561418255008406,3.09,4.4
1.3333333333333333,0.5626628231283958,0.5628547272290534,2.3,2.83
1.4,0.31910126922541887,0.3195006450317085,2.83,2.69
1.4666666666666666,0.5673643481275589,0.5679397683589256,3.61,3.61
1.5333333333333332,0.5622158893481762,0.5627937062950911,3.88,2.96
1.6,0.5637913206999996,0.5608981048907283,3.75,4.4
1.6666666666666667,0.29727894029597535,0.2976698396257531,4.14,5.06
1.7333333333333334,0.5587776664523486,0.5574427027441006,2.17,2.57
1.8,0.5774268166505097,0.5792010881936488,1.12,1.91
1.8666666666666667,0.5746652190746643,0.5746652190746643,2.17,2.83
1.9333333333333333,0.2854163137139308,0.28635828174599,2.3,2.83
2.0,0.574811211696585,0.573037103018509,4.14,5.45
2.0666666666666664,0.5676847465993646,0.5674900673309835,4.93,4.27
2.1333333333333333,0.5716785206612836,0.5752013598848039,3.35,2.96
2.2,0.2935363822956493,0.29430732486241395,3.88,4.27
2.2666666666666666,0.579991037771647,0.5766247531550139,2.43,2.57
2.3333333333333335,0.5691871187743074,0.5715222454154327,1.38,1.91
2.4,0.556687937130383,0.5555464034247157,2.43,2.83
2.466666666666667,0.29171902752304113,0.29287511349737283,3.09,4.14
2.533333333333333,0.5639530755163692,0.5612370992324925,5.71,6.5
2.6,0.5842063509760536,0.5840073706112797,2.17,2.57
2.6666666666666665,0.55432250716052,0.5554588020163325,2.3,2.69
2.7333333333333334,0.2971563292588098,0.29813446069152477,1.91,2.96
2.8,0.5461418851494786,0.5452086283395855,2.17,2.69
2.8666666666666667,0.5975037061333794,0.5973017785544226,2.43,5.19
2.933333333333333,0.5819870800561421,0.5808188222841992,4.4,5.85
3.0,0.2849553946498305,0.2857028186357973,2.43,2.96
3.0666666666666664,0.6039500619792721,0.6053602188951678,4.27,4.4
3.1333333333333333,0.5683264981251296,0.5689021157802191,3.09,3.22
3.2,0.2919122230511019,0.2921041443022861,2.43,3.35
3.2666666666666666,0.587029882308152,0.5850493496417952,2.96,3.61
3.3333333333333335,0.5781151740159537,0.5786915600319218,2.3,2.96
3.4,0.5504231250866661,0.5508002563816896,2.17,2.83
3.466666666666667,0.3121552052392496,0.3125556609226867,2.3,2.57
3.533333333333333,0.592689039924442,0.5917025401908793,2.83,3.35
3.6,0.5433163736899415,0.5429428320098522,3.48,3.75
3.6666666666666665,0.5918283951770085,0.5910326595196277,2.17,3.35
3.7333333333333334,0.3053321538079257,0.3060988384377008,4.14,3.61
3.8,0.5751474122446547,0.5771472293943232,0.99,1.25
3.8666666666666667,0.46723855860029123,0.46499939617888414,0.0,0.99
3.933333333333333,0.18641626842190898,0.18641626842190898,4.53,4.93
4.0,0.22253292877564784,0.22311700470419288,6.37,6.76
4.066666666666666,0.0848655701218227,0.08580852090095406,2.69,3.61
4.133333333333333,0.08336473801950481,0.0843643152139833,6.76,7.42
4.2,0.0919362344582951,0.09270880785710431,7.69,7.29
4.266666666666667,0.29241481866419017,0.29626491502579894,19.64,15.69
4.333333333333333,0.44368078069744715,0.43833982546979083,5.71,12.02
4.4,0.5647853455274919,0.5620783976201367,2.17,5.32
4.466666666666667,0.31327968737338086,0.31764457218795616,2.3,2.43
4.533333333333333,0.5504757457582493,0.5520080373261219,1.25,2.04
4.6,0.5770229076574137,0.5746661088514611,0.0,0.59
4.666666666666667,0.556380688629923,0.5584910981385193,2.69,4.01
4.733333333333333,0.30203316350267573,0.30203316350267573,3.35,3.61
4.8,0.5522494596896081,0.5524387807248119,6.11,4.8
4.866666666666666,0.5628600441516834,0.5622815651751658,2.43,3.09
4.933333333333334,0.5653324781408859,0.5668765750426022,4.14,3.75
5.0,0.29791581098885067,0.29634989345408674,3.35,5.06
5.066666666666666,0.5686862334501839,0.5679085428745255,2.43,3.09
5.133333333333333,0.5710935566644111,0.5716794939660503,2.3,3.61
5.2,0.5592405333333332,0.5586653802308308,4.53,4.14
5.266666666666667,0.30286601473729585,0.30386359713102873,3.22,3.48
5.333333333333333,0.550499004459319,0.5491833701024684,2.3,3.75
5.4,0.5701294413398127,0.5720866313203818,4.8,3.61
5.466666666666667,0.5649099714791909,0.5637523690786187,2.3,2.96
5.533333333333333,0.30095075058516024,0.30154200942717435,2.57,2.83
