time,curL,curR,velL,velR
1681483551.2856748,0.59,0.59,0.0,0.0
1681483551.4609954,0.59,0.59,0.0,0.0
1681483551.6372924,0.59,0.59,0.0,0.0
1681483551.8129594,0.59,0.59,0.0,0.0
1681483551.9890935,0.59,0.59,0.0,0.0
1681483552.1486878,0.59,0.59,0.0,0.0
1681483552.3084426,0.59,0.59,0.0,0.0
1681483552.42096,0.59,0.59,0.0,0.0
1681483552.5360024,0.59,0.59,0.0,0.0
1681483552.6759682,0.59,0.59,0.0,0.0
1681483552.83645,0.59,0.59,0.0,0.0
1681483553.0123389,0.59,0.59,0.0,0.0
1681483553.1725714,0.59,0.59,0.0,0.0
1681483553.2999432,0.59,0.59,0.0,0.0
1681483553.4116318,0.59,0.59,0.0,0.0
1681483553.556003,0.59,0.59,0.0,0.0
1681483553.6994858,0.59,0.59,0.0,0.0
1681483553.859227,0.59,0.59,0.0,0.0
1681483553.9719155,0.59,0.59,0.0,0.0
1681483554.083785,0.59,0.59,0.0,0.0
1681483554.2270231,0.59,0.59,0.0,0.0
1681483554.3879385,0.59,0.59,0.0,0.0
1681483554.56325,0.59,0.59,0.0,0.0
1681483554.7393515,0.59,0.59,0.0,0.0
1681483554.9151795,0.59,0.59,0.0,0.0
1681483555.0751536,0.59,0.59,0.0,0.0
1681483555.2352135,0.59,0.59,0.0,0.0
1681483555.3468623,0.59,0.59,0.0,0.0
1681483555.459014,0.59,0.59,0.0,0.0
1681483555.6024556,0.59,0.59,0.0,0.0
1681483555.762349,0.59,0.59,0.0,0.0
1681483555.9069335,0.59,0.59,0.0,0.0
1681483556.0182967,0.59,0.59,0.0,0.0
1681483556.1623542,12.02,3.88,1.3325257419745609,1.3325257419745609
1681483556.3066185,10.83,4.93,1.8170805572380373,1.8170805572380373
1681483556.466187,8.21,6.37,1.8170805572380373,1.8170805572380373
1681483556.6423583,1.91,3.48,1.8170805572380373,1.8170805572380373
1681483556.8181863,5.45,6.11,1.8170805572380373,1.8170805572380373
1681483556.993961,4.27,7.69,1.8170805572380373,1.8170805572380373
1681483557.153505,1.78,4.8,1.8170805572380373,1.8170805572380373
1681483557.3137913,0.73,4.53,1.8170805572380373,1.8170805572380373
1681483557.4260552,5.06,6.64,1.8170805572380373,1.8170805572380373
1681483557.5692508,2.96,5.32,1.8170805572380373,1.8170805572380373
1681483557.7136323,5.58,5.58,1.8170805572380373,1.8170805572380373
1681483557.857237,4.53,4.8,1.8170805572380373,1.8170805572380373
1681483558.01782,5.98,5.58,1.8170805572380373,1.8170805572380373
1681483558.1934428,2.04,3.35,1.8170805572380373,1.8170805572380373
1681483558.3526585,0.59,4.93,1.8170805572380373,1.8170805572380373
1681483558.513091,2.3,4.8,1.8170805572380373,1.8170805572380373
1681483558.6251843,1.38,5.32,1.8170805572380373,1.8170805572380373
1681483558.7688146,2.69,4.53,1.8170805572380373,1.8170805572380373
1681483558.9123363,6.64,5.06,1.8170805572380373,1.8170805572380373
1681483559.0566962,3.09,2.57,1.8170805572380373,1.8170805572380373
1681483559.2165964,6.11,3.88,1.8170805572380373,1.8170805572380373
1681483559.391947,2.96,5.06,1.8170805572380373,1.8170805572380373
1681483559.552811,5.06,6.37,1.8170805572380373,1.8170805572380373
1681483559.7117815,5.45,4.53,1.8170805572380373,1.8170805572380373
1681483559.8241014,5.32,3.22,1.8170805572380373,1.8170805572380373
1681483559.936398,8.87,5.45,1.8170805572380373,1.8170805572380373
1681483560.0956187,4.66,3.75,1.8170805572380373,1.8170805572380373
1681483560.2717085,1.64,2.57,1.8170805572380373,1.8170805572380373
1681483560.4318066,4.93,4.14,1.8170805572380373,1.8170805572380373
1681483560.5920174,4.93,5.45,1.8170805572380373,1.8170805572380373
1681483560.7031736,3.75,4.14,1.8170805572380373,1.8170805572380373
1681483560.847845,2.04,3.75,1.8170805572380373,1.8170805572380373
1681483560.991436,2.3,3.48,1.8170805572380373,1.8170805572380373
1681483561.135548,4.8,3.48,1.8170805572380373,1.8170805572380373
1681483561.2953117,6.5,3.09,1.8170805572380373,1.8170805572380373
1681483561.4714468,0.59,2.57,1.8170805572380373,1.8170805572380373
1681483561.6307032,7.29,5.85,1.8170805572380373,1.8170805572380373
